DQ1	DQ1	DQ
DQ2	DQ2	DQ
Ka10	Ka10	KR
Ka11	Ka11	KR
Ka12	Ka12	KR
Ka14	Ka14	KR
Ka1	Ka1	KR
Ka3	Ka3	KR
Ka4	Ka4	KR
Ka5	Ka5	KR
Ka6	Ka6	KR
Ka7	Ka7	KR
Ka8	Ka8	KR
Ka9	Ka9	KR
KR10	KR10	KR
KR1	KR1	KR
KR2	KR2	KR
KR3	KR3	KR
KR4	KR4	KR
KR5	KR5	KR
KR6	KR6	KR
KR7	KR7	KR
KR8	KR8	KR
KR9	KR9	KR
KRB2D	KRB2D	KR
KRB8D	KRB8D	KR
KRE02B2D	KRE02B2D	KR
KRSFGB1	KRSFGB1	KR
LQ10	LQ10	LQ
LQ11	LQ11	LQ
LQ12	LQ12	LQ
LQ13	LQ13	LQ
LQ14	LQ14	LQ
LQ15	LQ15	LQ
LQ16	LQ16	LQ
LQ17	LQ17	LQ
LQ18	LQ18	LQ
LQ19	LQ19	LQ
LQ1	LQ1	LQ
LQ20	LQ20	LQ
LQ2	LQ2	LQ
LQ3	LQ3	LQ
LQ4	LQ4	LQ
LQ5	LQ5	LQ
LQ6	LQ6	LQ
LQ7	LQ7	LQ
LQ8	LQ8	LQ
LQ9	LQ9	LQ
LQDV1	LQDV1	LQ
LQDV2	LQDV2	LQ
Na10	Na10	Na
Na2	Na2	Na
Na4	Na4	Na
Na5	Na5	Na
Na6	Na6	Na
Na7	Na7	Na
Na8	Na8	Na
Na9	Na9	Na
On1	On1	On
On2	On2	On
On3	On3	On
On4	On4	On
On5	On5	On
On6	On6	On
On7	On7	On
On8	On8	On
So10	So10	So
So11	So11	So
So12	So12	So
So13	So13	So
So14	So14	So
So15	So15	So
So1	So1	So
So2	So2	So
So3	So3	So
So4	So4	So
So5	So5	So
So6	So6	So
So7	So7	So
So8	So8	So
So9	So9	So
SoIW1D	SoIW1D	So
SoIW2D	SoIW2D	So
SoK1	SoK1	So
SoK2	SoK2	So
SoK3	SoK3	So
SoK4	SoK4	So
SoK5	SoK5	So
SoK6	SoK6	So
SoK7	SoK7	So
SoK8	SoK8	So
SoW2D	SoW2D	So
SoW3	SoW3	So
SoW7D	SoW7D	So
TC10	TC10	TC
TC11	TC11	TC
TC12	TC12	TC
TC13	TC13	TC
TC14	TC14	TC
TC15	TC15	TC
TC16	TC16	TC
TC17	TC17	TC
TC18	TC18	TC
TC19	TC19	TC
TC1	TC1	TC
TC20	TC20	TC
TC2	TC2	TC
TC3	TC3	TC
TC4	TC4	TC
TC5	TC5	TC
TC6	TC6	TC
TC7	TC7	TC
TC8	TC8	TC
TC9	TC9	TC
WC10	WC10	WC
WC1	WC1	WC
WC2	WC2	WC
WC2S	WC2S	WC
WC3	WC3	WC
WC3S	WC3S	WC
WC4	WC4	WC
WC5	WC5	WC
WC7	WC7	WC
WC9	WC9	WC
WCB01	WCB01	WC
